,call_type,latitude,longitude
1631,Structure Fire,37.76559675,-122.44779750000001
1635,Structure Fire,37.76890334,-122.45183909999999
1637,Structure Fire,37.73342303,-122.4820138
1649,Structure Fire,37.77404333,-122.41436770000001
1651,Structure Fire,37.74033299,-122.4664486
1667,Structure Fire,37.71137971,-122.45034109999999
1668,Structure Fire,37.73823929,-122.5000578
1671,Structure Fire,37.73342303,-122.4820138
1672,Structure Fire,37.78787217,-122.41169920000002
1673,Structure Fire,37.77269482,-122.42218829999999
1674,Structure Fire,37.74033299,-122.4664486
1676,Structure Fire,37.73342303,-122.4820138
1677,Structure Fire,37.74033299,-122.4664486
1679,Structure Fire,37.76890334,-122.45183909999999
1681,Structure Fire,37.78574028,-122.41380430000001
1682,Structure Fire,37.77173646,-122.42367340000001
1686,Structure Fire,37.74033299,-122.4664486
1689,Structure Fire,37.74033299,-122.4664486
1690,Structure Fire,37.77173646,-122.42367340000001
1704,Structure Fire,37.79102834,-122.4208486
1725,Structure Fire,37.7921084,-122.4009331
1733,Structure Fire,37.79531294,-122.39797479999999
1739,Structure Fire,37.78901634,-122.41024240000002
1745,Structure Fire,37.79102834,-122.4208486
1764,Structure Fire,37.72623625,-122.4336236
1773,Structure Fire,37.78778674,-122.4030709
1782,Structure Fire,37.78420567,-122.40761270000002
1800,Structure Fire,37.77404333,-122.41436770000001
1802,Structure Fire,37.78901634,-122.41024240000002
1815,Structure Fire,37.76010129,-122.42142520000002
1821,Structure Fire,37.7868469,-122.4620126
1825,Structure Fire,37.79102834,-122.4208486
1827,Structure Fire,37.78779429,-122.4035297
1833,Structure Fire,37.79102834,-122.4208486
1837,Structure Fire,37.78778674,-122.4030709
1841,Structure Fire,37.7257266,-122.4324199
1859,Structure Fire,37.76979785,-122.44857879999999
1874,Structure Fire,37.7868469,-122.4620126
1888,Structure Fire,37.7921084,-122.4009331
1890,Structure Fire,37.78420567,-122.40761270000002
1903,Structure Fire,37.77404333,-122.41436770000001
1957,Structure Fire,37.7257266,-122.4324199
1959,Structure Fire,37.7921084,-122.4009331
1965,Structure Fire,37.79102834,-122.4208486
1967,Structure Fire,37.7257266,-122.4324199
1991,Structure Fire,37.78420567,-122.40761270000002
1992,Structure Fire,37.7967039,-122.40843090000001
1997,Structure Fire,37.78778674,-122.4030709
2002,Structure Fire,37.7967039,-122.40843090000001
2005,Structure Fire,37.79102834,-122.4208486
2008,Structure Fire,37.77903213,-122.4018433
2021,Structure Fire,37.78779429,-122.4035297
2033,Structure Fire,37.79102834,-122.4208486
2122,Structure Fire,37.78420567,-122.40761270000002
2134,Structure Fire,37.79531294,-122.39797479999999
2145,Structure Fire,37.79531294,-122.39797479999999
2183,Structure Fire,37.78640961,-122.4080362
2185,Structure Fire,37.77903213,-122.4018433
2186,Structure Fire,37.79102834,-122.4208486
2203,Structure Fire,37.79531294,-122.39797479999999
2222,Structure Fire,37.76979785,-122.44857879999999
2232,Structure Fire,37.78779429,-122.4035297
2246,Structure Fire,37.78420567,-122.40761270000002
2265,Structure Fire,37.78420567,-122.40761270000002
2296,Structure Fire,37.76010129,-122.42142520000002
2298,Structure Fire,37.78420567,-122.40761270000002
2310,Structure Fire,37.78640961,-122.4080362
2320,Structure Fire,37.78420567,-122.40761270000002
2336,Structure Fire,37.7921084,-122.4009331
2351,Structure Fire,37.78779429,-122.4035297
2354,Structure Fire,37.78640961,-122.4080362
2360,Structure Fire,37.78778674,-122.4030709
2382,Structure Fire,37.780681099999995,-122.47177549999999
2383,Structure Fire,37.78778674,-122.4030709
2384,Structure Fire,37.780681099999995,-122.47177549999999
2388,Structure Fire,37.72623625,-122.4336236
2400,Structure Fire,37.78420567,-122.40761270000002
2403,Structure Fire,37.78778674,-122.4030709
2408,Structure Fire,37.78420567,-122.40761270000002
2419,Structure Fire,37.79102834,-122.4208486
2468,Structure Fire,37.78779429,-122.4035297
2482,Structure Fire,37.78420567,-122.40761270000002
2483,Structure Fire,37.78779429,-122.4035297
2497,Structure Fire,37.7868469,-122.4620126
2500,Structure Fire,37.78778674,-122.4030709
2510,Structure Fire,37.79102834,-122.4208486
2511,Structure Fire,37.78640961,-122.4080362
2535,Structure Fire,37.80440729,-122.41335890000002
2555,Structure Fire,37.76642861,-122.45211
2558,Structure Fire,37.80531094,-122.41269840000001
2574,Structure Fire,37.76642861,-122.45211
2581,Structure Fire,37.78486624,-122.4127821
2610,Structure Fire,37.78486624,-122.4127821
2621,Structure Fire,37.78640961,-122.4080362
2623,Structure Fire,37.75376855,-122.487183
2628,Structure Fire,37.79447972,-122.3947476
2649,Structure Fire,37.80440729,-122.41335890000002
2661,Structure Fire,37.80531094,-122.41269840000001
2673,Structure Fire,37.79531294,-122.39797479999999
2683,Structure Fire,37.75376855,-122.487183
2695,Structure Fire,37.80531094,-122.41269840000001
2700,Structure Fire,37.80531094,-122.41269840000001
2707,Structure Fire,37.78640961,-122.4080362
2714,Structure Fire,37.78486624,-122.4127821
2740,Structure Fire,37.78486624,-122.4127821
2747,Structure Fire,37.80440729,-122.41335890000002
2765,Structure Fire,37.80440729,-122.41335890000002
2772,Structure Fire,37.80440729,-122.41335890000002
2786,Structure Fire,37.78640961,-122.4080362
2788,Structure Fire,37.76642861,-122.45211
2793,Structure Fire,37.78486624,-122.4127821
2802,Structure Fire,37.78640961,-122.4080362
2823,Structure Fire,37.76642861,-122.45211
2837,Structure Fire,37.79531294,-122.39797479999999
2865,Structure Fire,37.76642861,-122.45211
2870,Structure Fire,37.80440729,-122.41335890000002
2923,Structure Fire,37.76642861,-122.45211
2950,Structure Fire,37.78486624,-122.4127821
2957,Structure Fire,37.76642861,-122.45211
2962,Structure Fire,37.80531094,-122.41269840000001
2992,Structure Fire,37.78486624,-122.4127821
2996,Structure Fire,37.72623625,-122.4336236
3017,Structure Fire,37.78640961,-122.4080362
3021,Structure Fire,37.78640961,-122.4080362
3031,Structure Fire,37.78640961,-122.4080362
3035,Structure Fire,37.80440729,-122.41335890000002
3048,Structure Fire,37.80440729,-122.41335890000002
3051,Structure Fire,37.72623625,-122.4336236
3057,Structure Fire,37.78486624,-122.4127821
3079,Structure Fire,37.80531094,-122.41269840000001
3080,Structure Fire,37.80440729,-122.41335890000002
3088,Structure Fire,37.80440729,-122.41335890000002
3089,Structure Fire,37.76642861,-122.45211
3099,Structure Fire,37.78486624,-122.4127821
3151,Structure Fire,37.78640961,-122.4080362
3166,Structure Fire,37.80531094,-122.41269840000001
3210,Structure Fire,37.78486624,-122.4127821
3213,Structure Fire,37.76642861,-122.45211
3226,Structure Fire,37.79447972,-122.3947476
3256,Structure Fire,37.80531094,-122.41269840000001
3261,Structure Fire,37.80531094,-122.41269840000001
3272,Structure Fire,37.80531094,-122.41269840000001
3287,Structure Fire,37.78640961,-122.4080362
3289,Structure Fire,37.76642861,-122.45211
3290,Structure Fire,37.76642861,-122.45211
3293,Structure Fire,37.78521973,-122.4066747
3303,Structure Fire,37.78373004,-122.4137537
