,call_type,latitude,longitude
1871,Alarms,37.71433481,-122.4920479
1876,Alarms,37.77916742,-122.40634640000002
1877,Alarms,37.71554505,-122.4736299
1880,Alarms,37.78681175,-122.4028497
1884,Alarms,37.7877641,-122.4099253
1885,Alarms,37.78976143,-122.4048144
1894,Alarms,37.77006294,-122.4502439
1902,Alarms,37.78066916,-122.401678
1914,Alarms,37.78066916,-122.401678
1915,Alarms,37.78137782,-122.43316200000001
1923,Alarms,37.76396861,-122.4241483
1926,Alarms,37.769637599999996,-122.43761119999999
1932,Alarms,37.74799968,-122.4208219
1939,Alarms,37.7877641,-122.4099253
1946,Alarms,37.77916742,-122.40634640000002
1952,Alarms,37.71433481,-122.4920479
1954,Alarms,37.759220299999996,-122.4633116
1966,Alarms,37.71914568,-122.44563490000002
1969,Alarms,37.72364427,-122.45459890000001
1970,Alarms,37.78347684,-122.4124351
2013,Alarms,37.71751347,-122.4805946
2020,Alarms,37.76396861,-122.4241483
2031,Alarms,37.78066916,-122.401678
2034,Alarms,37.78347684,-122.4124351
2072,Alarms,37.76174205,-122.4484554
2078,Alarms,37.71554505,-122.4736299
2082,Alarms,37.74742179,-122.4248811
2083,Alarms,37.75115716,-122.44396840000002
2092,Alarms,37.71914568,-122.44563490000002
2094,Alarms,37.77453449,-122.4821838
2106,Alarms,37.71015560000001,-122.41260430000001
2121,Alarms,37.76937726,-122.42951140000001
2135,Alarms,37.78976143,-122.4048144
2142,Alarms,37.71433481,-122.4920479
2160,Alarms,37.78347684,-122.4124351
2163,Alarms,37.78775591,-122.39070079999999
2164,Alarms,37.74742179,-122.4248811
2172,Alarms,37.78976143,-122.4048144
2178,Alarms,37.77453449,-122.4821838
2188,Alarms,37.77916742,-122.40634640000002
2192,Alarms,37.78137782,-122.43316200000001
2234,Alarms,37.74970201,-122.4204993
2237,Alarms,37.78486909,-122.4650908
2249,Alarms,37.71554505,-122.4736299
2259,Alarms,37.76396861,-122.4241483
2275,Alarms,37.71015560000001,-122.41260430000001
2282,Alarms,37.77453449,-122.4821838
2284,Alarms,37.769637599999996,-122.43761119999999
2285,Alarms,37.77916742,-122.40634640000002
2289,Alarms,37.78658886,-122.4016923
2317,Alarms,37.76174205,-122.4484554
2335,Alarms,37.75115716,-122.44396840000002
2339,Alarms,37.78347684,-122.4124351
2343,Alarms,37.78695216,-122.44107179999999
2344,Alarms,37.73673251,-122.3805666
2359,Alarms,37.72364427,-122.45459890000001
2372,Alarms,37.74799968,-122.4208219
2375,Alarms,37.759220299999996,-122.4633116
2391,Alarms,37.78960249,-122.39747120000001
2402,Alarms,37.78486909,-122.4650908
2410,Alarms,37.78486909,-122.4650908
2418,Alarms,37.78128769,-122.41131809999999
2423,Alarms,37.76937726,-122.42951140000001
2432,Alarms,37.77006294,-122.4502439
2433,Alarms,37.78775591,-122.39070079999999
2441,Alarms,37.76937726,-122.42951140000001
2444,Alarms,37.78128769,-122.41131809999999
2447,Alarms,37.78658886,-122.4016923
2466,Alarms,37.71554505,-122.4736299
2481,Alarms,37.71751347,-122.4805946
2486,Alarms,37.78960249,-122.39747120000001
2488,Alarms,37.78960249,-122.39747120000001
2491,Alarms,37.78658886,-122.4016923
2496,Alarms,37.78681175,-122.4028497
2501,Alarms,37.78775591,-122.39070079999999
2508,Alarms,37.73673251,-122.3805666
2515,Alarms,37.78128769,-122.41131809999999
2527,Alarms,37.78976143,-122.4048144
2529,Alarms,37.79510065,-122.40484779999998
2582,Alarms,37.756508000000004,-122.40654099999999
2585,Alarms,37.78295349,-122.4132437
2588,Alarms,37.79400711,-122.43324969999999
2606,Alarms,37.77055901,-122.4179496
2633,Alarms,37.76698711,-122.42785719999999
2648,Alarms,37.79510065,-122.40484779999998
2650,Alarms,37.77386178,-122.413046
2652,Alarms,37.80542259,-122.42595890000001
2657,Alarms,37.756508000000004,-122.40654099999999
2660,Alarms,37.77685246,-122.419455
2675,Alarms,37.77055901,-122.4179496
2693,Alarms,37.78295349,-122.4132437
2710,Alarms,37.79883609,-122.4062732
2717,Alarms,37.75517394,-122.47662240000001
2725,Alarms,37.71650618,-122.39041780000001
2738,Alarms,37.71650618,-122.39041780000001
2743,Alarms,37.78983683,-122.4033445
2745,Alarms,37.74795863,-122.467418
2763,Alarms,37.76698711,-122.42785719999999
2776,Alarms,37.77386178,-122.413046
2785,Alarms,37.73448127,-122.3919121
2787,Alarms,37.73448127,-122.3919121
2789,Alarms,37.80542259,-122.42595890000001
2811,Alarms,37.76497779,-122.4664456
2815,Alarms,37.77685246,-122.419455
2833,Alarms,37.79388531,-122.4128518
2838,Alarms,37.73448127,-122.3919121
2841,Alarms,37.80539124,-122.4448002
2845,Alarms,37.72713728,-122.378969
2863,Alarms,37.76497779,-122.4664456
2891,Alarms,37.76712423,-122.39764
2894,Alarms,37.79824546,-122.43579369999999
2895,Alarms,37.76712423,-122.39764
2896,Alarms,37.75517394,-122.47662240000001
2920,Alarms,37.71650618,-122.39041780000001
2921,Alarms,37.74795863,-122.467418
2931,Alarms,37.76846225,-122.43120490000001
2941,Alarms,37.79824546,-122.43579369999999
2944,Alarms,37.79400711,-122.43324969999999
2955,Alarms,37.77055901,-122.4179496
2961,Alarms,37.77685246,-122.419455
2969,Alarms,37.76497779,-122.4664456
2971,Alarms,37.76846225,-122.43120490000001
2974,Alarms,37.74795863,-122.467418
2980,Alarms,37.76698711,-122.42785719999999
2984,Alarms,37.756508000000004,-122.40654099999999
2988,Alarms,37.79388531,-122.4128518
3000,Alarms,37.75517394,-122.47662240000001
3002,Alarms,37.78983683,-122.4033445
3006,Alarms,37.79883609,-122.4062732
3015,Alarms,37.73563597,-122.4184659
3020,Alarms,37.78983683,-122.4033445
3030,Alarms,37.79400711,-122.43324969999999
3037,Alarms,37.79510065,-122.40484779999998
3038,Alarms,37.79400711,-122.43324969999999
