,call_type,latitude,longitude
5186,Traffic Collision,37.73238239,-122.43623840000001
5202,Outside Fire,37.79804495,-122.39636709999999
5213,Traffic Collision,37.78537343,-122.4590871
5224,Citizen Assist / Service Call,37.80826332,-122.4149725
5228,Traffic Collision,37.71947658,-122.3969544
5245,Traffic Collision,37.78537343,-122.4590871
5246,Citizen Assist / Service Call,37.745956299999996,-122.4542399
5253,Traffic Collision,37.78922561,-122.40859499999999
5274,Odor (Strange / Unknown),37.76209916,-122.4149986
5277,Outside Fire,37.79804495,-122.39636709999999
5281,Traffic Collision,37.73238239,-122.43623840000001
5286,Citizen Assist / Service Call,37.75853818,-122.4637815
5287,Outside Fire,37.79804495,-122.39636709999999
5303,Odor (Strange / Unknown),37.78114586,-122.409026
5315,Traffic Collision,37.77732776,-122.3930886
5316,Traffic Collision,37.78636079,-122.4156169
5331,Traffic Collision,37.77732776,-122.3930886
5338,Citizen Assist / Service Call,37.72615321,-122.43743300000001
5344,Outside Fire,37.79804495,-122.39636709999999
5381,Traffic Collision,37.78922561,-122.40859499999999
5383,Citizen Assist / Service Call,37.7773617,-122.41026310000001
5387,Traffic Collision,37.729632,-122.43380800000001
5395,Vehicle Fire,37.77475548,-122.45468259999998
5400,Other,37.71569869,-122.4009203
5406,Traffic Collision,37.7881859,-122.40012
5420,Other,37.78876833,-122.40843000000001
5422,Traffic Collision,37.77858957,-122.41162620000001
5423,Vehicle Fire,37.72391411,-122.3914919
5424,Vehicle Fire,37.72391411,-122.3914919
5435,Traffic Collision,37.78537343,-122.4590871
5437,Outside Fire,37.78564171,-122.4179963
5460,Traffic Collision,37.78537343,-122.4590871
5481,Traffic Collision,37.77011145,-122.42000829999999
5512,Traffic Collision,37.78022582,-122.48151570000002
5518,Citizen Assist / Service Call,37.72615321,-122.43743300000001
5524,Vehicle Fire,37.77475548,-122.45468259999998
5530,Outside Fire,37.78513998,-122.454627
5579,Traffic Collision,37.78537343,-122.4590871
5580,Citizen Assist / Service Call,37.7731448,-122.39147290000001
5587,Traffic Collision,37.71882359,-122.40042340000002
5599,Traffic Collision,37.78022582,-122.48151570000002
5646,Traffic Collision,37.77732776,-122.3930886
5652,Citizen Assist / Service Call,37.78371764,-122.43784790000001
5672,Traffic Collision,37.71947658,-122.3969544
5680,Traffic Collision,37.78537343,-122.4590871
5704,Traffic Collision,37.78636079,-122.4156169
5713,Citizen Assist / Service Call,37.80826332,-122.4149725
5718,Outside Fire,37.79804495,-122.39636709999999
5737,Traffic Collision,37.77858957,-122.41162620000001
5747,Traffic Collision,37.77273891,-122.4483313
5761,Citizen Assist / Service Call,37.745956299999996,-122.4542399
5769,Traffic Collision,37.77011145,-122.42000829999999
5780,Traffic Collision,37.78537343,-122.4590871
5797,Traffic Collision,37.77250432,-122.442378
5808,Other,37.78065583,-122.47231229999998
5811,Citizen Assist / Service Call,37.76792693,-122.4482697
5812,Traffic Collision,37.7881859,-122.40012
5817,Outside Fire,37.73436801,-122.3907055
5823,Citizen Assist / Service Call,37.78086621,-122.42880320000002
5831,Traffic Collision,37.78922561,-122.40859499999999
5833,Citizen Assist / Service Call,37.80826332,-122.4149725
5836,Outside Fire,37.786151399999994,-122.41725759999999
5858,Gas Leak (Natural and LP Gases),37.73234235,-122.3862804
5866,Electrical Hazard,37.78698104,-122.4300053
5867,Other,37.76544761,-122.41310520000002
5873,Traffic Collision,37.7810766,-122.4044037
5876,Traffic Collision,37.72518652,-122.4616735
5886,Traffic Collision,37.71772407,-122.43794479999998
5891,Gas Leak (Natural and LP Gases),37.71722305,-122.3911499
5893,Gas Leak (Natural and LP Gases),37.71722305,-122.3911499
5940,Traffic Collision,37.77797226,-122.4223539
5945,Gas Leak (Natural and LP Gases),37.73234235,-122.3862804
5949,Traffic Collision,37.71772407,-122.43794479999998
5954,Gas Leak (Natural and LP Gases),37.75762161,-122.41006259999999
5955,Traffic Collision,37.7810766,-122.4044037
5962,Traffic Collision,37.77533224,-122.39720630000001
5966,Outside Fire,37.7797358,-122.51047620000001
5967,Other,37.71722305,-122.3911499
5969,Citizen Assist / Service Call,37.78563178,-122.41378259999999
5972,Traffic Collision,37.78139813,-122.40924540000002
5975,Traffic Collision,37.71772407,-122.43794479999998
5979,Other,37.73099183,-122.4839775
5981,Electrical Hazard,37.78901634,-122.41024240000002
5991,Traffic Collision,37.77406165,-122.43761059999999
5997,Gas Leak (Natural and LP Gases),37.79900403,-122.4417952
6000,Traffic Collision,37.71772407,-122.43794479999998
6009,Outside Fire,37.79804495,-122.39636709999999
6020,Outside Fire,37.79804495,-122.39636709999999
6030,Traffic Collision,37.77533224,-122.39720630000001
6054,Other,37.78479798,-122.4396639
6064,Citizen Assist / Service Call,37.758486299999994,-122.42238540000001
6070,Other,37.72146066,-122.39227939999999
6071,Fuel Spill,37.76950326,-122.45045259999998
6081,Gas Leak (Natural and LP Gases),37.80789213,-122.41068510000001
6092,Traffic Collision,37.7810766,-122.4044037
6101,Odor (Strange / Unknown),37.78957969,-122.4365068
6115,Outside Fire,37.7797358,-122.51047620000001
6120,Citizen Assist / Service Call,37.75476888,-122.5081804
6123,Traffic Collision,37.77208039,-122.44571670000002
6134,Gas Leak (Natural and LP Gases),37.80789213,-122.41068510000001
6138,Traffic Collision,37.73078874,-122.4283899
6142,Traffic Collision,37.71772407,-122.43794479999998
6170,Traffic Collision,37.71772407,-122.43794479999998
6188,Traffic Collision,37.76690348,-122.3890991
6191,Gas Leak (Natural and LP Gases),37.75762161,-122.41006259999999
6194,Traffic Collision,37.78139813,-122.40924540000002
6199,Odor (Strange / Unknown),37.73559703,-122.4019666
6200,Gas Leak (Natural and LP Gases),37.75762161,-122.41006259999999
6205,Gas Leak (Natural and LP Gases),37.72728646,-122.3699543
6218,Odor (Strange / Unknown),37.73559703,-122.4019666
6227,Other,37.77310881,-122.4230048
6239,Traffic Collision,37.71299484,-122.4020979
6264,Traffic Collision,37.76690348,-122.3890991
6269,Odor (Strange / Unknown),37.73559703,-122.4019666
6270,Traffic Collision,37.77406165,-122.43761059999999
6273,Traffic Collision,37.74748114,-122.40350729999999
6285,Traffic Collision,37.77797226,-122.4223539
6287,Other,37.77729986,-122.4196936
6302,Outside Fire,37.79238325,-122.4210529
6307,Citizen Assist / Service Call,37.74810004,-122.42701509999998
6308,Gas Leak (Natural and LP Gases),37.72876686,-122.38421869999999
6317,Traffic Collision,37.77797226,-122.4223539
6318,Gas Leak (Natural and LP Gases),37.71813379,-122.3854834
6337,Gas Leak (Natural and LP Gases),37.73234235,-122.3862804
6350,Traffic Collision,37.77797226,-122.4223539
6356,Gas Leak (Natural and LP Gases),37.74024002,-122.38528170000001
6357,Electrical Hazard,37.71561931,-122.4626152
6362,Traffic Collision,37.77208039,-122.44571670000002
6368,Outside Fire,37.79804495,-122.39636709999999
6374,Electrical Hazard,37.77210826,-122.43043390000001
6386,Outside Fire,37.79804495,-122.39636709999999
6390,Outside Fire,37.74700983,-122.4060925
6393,Traffic Collision,37.74748114,-122.40350729999999
6395,Gas Leak (Natural and LP Gases),37.72746974,-122.37127140000001
6408,Traffic Collision,37.7818745,-122.48808500000001
6420,Outside Fire,37.77866179,-122.4069699
6426,Gas Leak (Natural and LP Gases),37.73234235,-122.3862804
6436,Traffic Collision,37.71299484,-122.4020979
6443,Traffic Collision,37.71772407,-122.43794479999998
6447,Traffic Collision,37.76690348,-122.3890991
6465,Traffic Collision,37.76690348,-122.3890991
6469,Traffic Collision,37.73078874,-122.4283899
6483,Outside Fire,37.79804495,-122.39636709999999
6488,Gas Leak (Natural and LP Gases),37.79900403,-122.4417952
6491,Traffic Collision,37.77797226,-122.4223539
6497,Gas Leak (Natural and LP Gases),37.79900403,-122.4417952
6502,Gas Leak (Natural and LP Gases),37.71722305,-122.3911499
6506,Traffic Collision,37.7818745,-122.48808500000001
6509,Outside Fire,37.7797358,-122.51047620000001
6526,Traffic Collision,37.76690348,-122.3890991
6528,Traffic Collision,37.71772407,-122.43794479999998
6534,Citizen Assist / Service Call,37.77908938,-122.43192579999999
6537,Citizen Assist / Service Call,37.77854483,-122.497454
6547,Traffic Collision,37.77797226,-122.4223539
6553,Other,37.76544761,-122.41310520000002
6561,Other,37.73044849,-122.4949771
6581,Traffic Collision,37.71772407,-122.43794479999998
6582,Traffic Collision,37.72518652,-122.4616735
6585,Traffic Collision,37.76690348,-122.3890991
6590,Electrical Hazard,37.71534174,-122.4589814
6602,Gas Leak (Natural and LP Gases),37.80789213,-122.41068510000001
6636,Traffic Collision,37.78071918,-122.4153156
6638,Traffic Collision,37.7563941,-122.4036384
6647,Other,37.756508000000004,-122.40654099999999
6680,Elevator / Escalator Rescue,37.79034828,-122.45166699999999
6681,Elevator / Escalator Rescue,37.78305497,-122.4115773
6688,Outside Fire,37.73956627,-122.40697859999999
6694,Citizen Assist / Service Call,37.75120999,-122.481567
6696,Citizen Assist / Service Call,37.75536573,-122.41985790000001
6703,Traffic Collision,37.7563941,-122.4036384
6709,Outside Fire,37.78761253,-122.4058047
6727,Other,37.78531207,-122.4263666
6729,Gas Leak (Natural and LP Gases),37.79806278,-122.4240584
6742,Traffic Collision,37.79573711,-122.4234131
6743,Traffic Collision,37.75936549,-122.40694690000001
6746,Other,37.77689454,-122.4919581
6749,Traffic Collision,37.78202549,-122.4848743
6765,Gas Leak (Natural and LP Gases),37.79806278,-122.4240584
6769,Traffic Collision,37.77769966,-122.40460549999999
6776,Citizen Assist / Service Call,37.78600483,-122.39507730000001
6797,Gas Leak (Natural and LP Gases),37.76347833,-122.41301979999999
6809,Citizen Assist / Service Call,37.75120999,-122.481567
6824,Electrical Hazard,37.78743816,-122.44540220000002
6908,Smoke Investigation (Outside),37.77901376,-122.50830069999999
6931,Other,37.76590039999999,-122.40558529999998
6932,Traffic Collision,37.73074217,-122.42930439999999
6957,Other,37.77651282,-122.41496670000001
6958,Traffic Collision,37.7563941,-122.4036384
6966,Gas Leak (Natural and LP Gases),37.79806278,-122.4240584
6972,Traffic Collision,37.72880614,-122.37014540000001
6975,Traffic Collision,37.78071918,-122.4153156
6984,Other,37.73879098,-122.4679487
6992,Citizen Assist / Service Call,37.73547359,-122.49873329999998
7006,Gas Leak (Natural and LP Gases),37.76347833,-122.41301979999999
7014,Citizen Assist / Service Call,37.78105984,-122.43478370000001
7020,Traffic Collision,37.73074217,-122.42930439999999
7026,Gas Leak (Natural and LP Gases),37.76347833,-122.41301979999999
7042,Gas Leak (Natural and LP Gases),37.76780932,-122.44919569999999
7074,Gas Leak (Natural and LP Gases),37.76347833,-122.41301979999999
