Column1,Unnamed0,call_type,received_timestamp,disptach_timestamp,dispatch_time,latitude,longitude,TransactionId,ComputedAPN,StreetAddress,ComputedCity,ComputedState,ComputedZip
3660,3660,Structure Fire,0 days 17:26:24.000000000,0 days 17:26:34.000000000,0 days 00:00:10.000000000,37.7491408,-122.4420629,,6541020,4727  25th St,San Francisco,CA,94114
3669,3669,Structure Fire,0 days 03:56:11.000000000,0 days 03:56:28.000000000,0 days 00:00:17.000000000,37.79053181,-122.4039142,,288025,246 Kearny St,San Francisco,CA,94108
3672,3672,Structure Fire,0 days 13:29:45.000000000,0 days 13:40:05.000000000,0 days 00:10:20.000000000,37.76505134,-122.419669,,3553053,1955 Mission St,San Francisco,CA,94103
3684,3684,Structure Fire,0 days 05:47:33.000000000,0 days 05:48:34.000000000,0 days 00:01:01.000000000,37.73739256,-122.4850382,,2468024,1712 Wawona St,San Francisco,CA,94116
3690,3690,Structure Fire,0 days 15:06:56.000000000,0 days 15:09:13.000000000,0 days 00:02:17.000000000,37.78552674,-122.411301,,324025,333 Taylor St,San Francisco,CA,94102
3710,3710,Structure Fire,0 days 10:07:29.000000000,0 days 10:08:58.000000000,0 days 00:01:29.000000000,37.73002972,-122.3873956,,4789017,1449 Revere Ave,San Francisco,CA,94124
3732,3732,Structure Fire,0 days 10:07:29.000000000,0 days 10:10:43.000000000,0 days 00:03:14.000000000,37.78003611,-122.4167895,,353001,45 Hyde St,San Francisco,CA,94102
3740,3740,Structure Fire,0 days 20:12:54.000000000,0 days 20:13:03.000000000,0 days 00:00:09.000000000,37.73059102,-122.4710044,,6901001A,2499 Ocean Ave,San Francisco,CA,94127
3743,3743,Structure Fire,0 days 15:37:35.000000000,0 days 15:37:56.000000000,0 days 00:00:21.000000000,37.73812754,-122.4240635,,6661019,3648 Mission St,San Francisco,CA,94110
3767,3767,Structure Fire,0 days 10:07:29.000000000,0 days 10:08:58.000000000,0 days 00:01:29.000000000,37.79673325,-122.4312042,,542040,1950 Green St,San Francisco,CA,94123
3786,3786,Structure Fire,0 days 15:06:56.000000000,0 days 15:09:13.000000000,0 days 00:02:17.000000000,37.77009808,-122.4537262,,1700001,1000 Great Hwy,San Francisco,CA,94122
3799,3799,Structure Fire,0 days 19:20:22.000000000,0 days 19:22:18.000000000,0 days 00:01:56.000000000,37.76088893,-122.4350007,,2695001,4109  18th St,San Francisco,CA,94114
3812,3812,Structure Fire,0 days 23:29:37.000000000,0 days 23:29:44.000000000,0 days 00:00:07.000000000,37.73425962,-122.4339472,,6744026,2806 Diamond St,San Francisco,CA,94131
3817,3817,Structure Fire,0 days 11:22:44.000000000,0 days 11:24:17.000000000,0 days 00:01:33.000000000,37.73110435,-122.3818379,,4715013,35 Lillian Ct,San Francisco,CA,94124
3825,3825,Structure Fire,0 days 09:54:49.000000000,0 days 09:58:36.000000000,0 days 00:03:47.000000000,37.73573759,-122.4005623,,5351036,2106 Thomas Ave,San Francisco,CA,94124
3838,3838,Structure Fire,0 days 13:29:45.000000000,0 days 13:40:05.000000000,0 days 00:10:20.000000000,37.78383852,-122.4137755,,333012,380 Eddy St,San Francisco,CA,94102
3844,3844,Structure Fire,0 days 05:47:33.000000000,0 days 05:48:34.000000000,0 days 00:01:01.000000000,37.78259122,-122.457897,,1061049,460 Arguello Blvd,San Francisco,CA,94118
3847,3847,Structure Fire,0 days 20:01:02.000000000,0 days 20:01:40.000000000,0 days 00:00:38.000000000,37.78791214,-122.4151587,,300002,729 Leavenworth St,San Francisco,CA,94109
3851,3851,Structure Fire,0 days 13:29:45.000000000,0 days 13:29:56.000000000,0 days 00:00:11.000000000,37.7739651,-122.4154582,,3510027,955 Natoma St,San Francisco,CA,94103
3856,3856,Structure Fire,0 days 09:54:49.000000000,0 days 09:58:36.000000000,0 days 00:03:47.000000000,37.77453628,-122.4207413,,836010,1580 Market St,San Francisco,CA,94102
3858,3858,Structure Fire,0 days 19:17:01.000000000,0 days 19:19:31.000000000,0 days 00:02:30.000000000,37.7824485,-122.4163274,,346016,433 Turk St,San Francisco,CA,94102
3866,3866,Structure Fire,0 days 13:29:45.000000000,0 days 13:40:05.000000000,0 days 00:10:20.000000000,37.76267071,-122.435188,,2623006,376 Castro St,San Francisco,CA,94114
3872,3872,Structure Fire,0 days 09:54:49.000000000,0 days 09:58:36.000000000,0 days 00:03:47.000000000,37.71872229,-122.3891183,,4944037,1051 Gilman Ave,San Francisco,CA,94124
3873,3873,Structure Fire,0 days 15:06:56.000000000,0 days 15:09:13.000000000,0 days 00:02:17.000000000,37.75090379,-122.4339791,,6507014,1311 Castro St,San Francisco,CA,94114
3874,3874,Structure Fire,0 days 05:47:33.000000000,0 days 05:51:28.000000000,0 days 00:03:55.000000000,37.75010755,-122.4137792,,6524027,2947 Folsom St,San Francisco,CA,94110
